Security Code,Issuer Name,Security Id,Security Name,Face Value,Industry,Sector Name
531716,Tricom Fruit Products Limited,TRICOMFRU,Tricom Fruit Products Limited,10,Other Food Products,Fast Moving Consumer Goods
531717,Vidhi Specialty Food Ingredients Limited,VIDHIING,Vidhi Specialty Food Ingredients Ltd-$,1,Specialty Chemicals,Commodities
531719,Bhagiradha Chemicals and Industries,BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTRIES LTD.,10,Pesticides & Agrochemicals,Commodities
531726,Panchsheel Organic Ltd.,PANCHSHEEL,PANCHSHEEL ORGANICS LTD.,10,Pharmaceuticals,Healthcare
531727,Menon Pistons Ltd.,MENNPIS,MENON PISTONS LTD.,1,Auto Components & Equipments,Consumer Discretionary
531735,Prism Finance Ltd.,PRISMFN,PRISM FINANCE LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531737,Greencrest Financial Services Limited,GREENCREST,Greencrest Financial Services Limited,1,Diversified Commercial Services,Services
531739,Gennex Laboratories Ltd,GENNEX,GENNEX LABORATORIES LTD.,1,Pharmaceuticals,Healthcare
531743,Hira Automobiles Ltd.,HIRAUTO,HIRA AUTOMOBILES LTD.,10,Trading & Distributors,Services
531744,Gini Silk Mills Ltd.,GINISILK,GINI SILK MILLS LTD.-$,10,Trading & Distributors,Services
531746,Prajay Engineers Syndicate Ltd.,PRAENG,PRAJAY ENGINEERS SYNDICATE LTD.,10,Residential- Commercial Projects,Consumer Discretionary
531752,BIOGEN PHARMACHEM INDUSTRIES LIMITED,BIOGEN,Biogen Pharmachem Industries Ltd,1,Other Financial Services,Financial Services
531758,G.k.Consultants Ltd.,GKCONS,G.K.CONSULTANTS LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531761,APOLLO PIPES LIMITED,APOLLOPIPES,Apollo Pipes Ltd,10,Plastic Products - Industrial,Industrials
531762,Unjha Formulations Ltd.,UNJHAFOR,UNJHA FORMULATIONS LTD.,10,Pharmaceuticals,Healthcare
531768,Poly Medicure Ltd,POLYMED,POLY MEDICURE LTD.,5,Medical Equipment & Supplies,Healthcare
531771,SHRADDHA PRIME PROJECTS LTD,SHRADDHA,Shraddha Prime Projects Ltd,10,Other Electrical Equipment,Industrials
531778,Kachchh Minerals Ltd.,KACHCHH,KACHCHH MINERALS LTD.,10,Industrial Minerals,Commodities
531779,Padmanabh Alloys & Polymers Ltd.,PADALPO,PADMANABH ALLOYS & POLYMERS LTD.,10,Plastic Products - Industrial,Industrials
531780,Kaiser Corporation Limited,KACL,Kaiser Corporation Limited,1,Trading & Distributors,Services
531784,KCL Infra Projects Limited,KCLINFRA,KCL Infra Projects Ltd,2,Civil Construction,Industrials
531795,Atul Auto Limited,ATULAUTO,ATUL AUTO LTD.-$,5,Commercial Vehicles,Industrials
531797,Scan Projects Ltd,SCANPRO,SCAN PROJECTS LTD.,10,Cement & Cement Products,Commodities
531802,Prerna Infrabuild Limited,PRERINFRA,PRERNA INFRABUILD LTD.,10,Residential- Commercial Projects,Consumer Discretionary
531810,Metal Coatings (India) Ltd.,METALCO,METAL COATINGS (INDIA) LTD.,10,Iron & Steel Products,Industrials
531812,SGN Telecoms Ltd.,SGNTE,SGN TELECOMS LTD.,1,Other Electrical Equipment,Industrials
531813,Ganga Papers India Ltd,GANGAPA,GANGA PAPERS INDIA LTD.,10,Paper & Paper Products,Commodities
531814,Tirupati Sarjan Ltd.,TIRSARJ,TIRUPATI SARJAN LTD.,5,Residential- Commercial Projects,Consumer Discretionary
531819,Nuway Organic Naturals (India) Ltd.,NUWAY,NUWAY ORGANIC NATURALS INDIA LTD.,10,Trading & Distributors,Services
531821,Munoth Financial Services Ltd.,MUNOTHFI,MUNOTH FINANCIAL SERVICES LTD.,10,Other Financial Services,Financial Services
531822,Rodium Realty Limited,RODIUM,Rodium Realty Limited,10,Residential- Commercial Projects,Consumer Discretionary
531834,Natura Hue Chem Ltd.,NATHUEC,NATURA HUE CHEM LTD.,10,Other Agricultural Products,Fast Moving Consumer Goods
531841,Indus Finance Limited,INDUSFINL,Indus Finance Ltd,10,Non Banking Financial Company (NBFC),Financial Services
531842,Lahoti Overseas Ltd.,LAHOTIOV,LAHOTI OVERSEAS LTD.-$,2,Trading & Distributors,Services
531845,ZENITH STEEL PIPES AND  INDUSTRIES LIMITED,ZENITHSTL,Zenith Steel Pipes & Industries Ltd-$,10,Iron & Steel Products,Industrials
531846,Trinity League India Limited,TRINITYLEA,TRINITY LEAGUE INDIA LTD.,10,Other Financial Services,Financial Services
531847,Asian Star Co. Ltd.,ASTAR,ASIAN STAR CO.LTD.-$,10,Gems- Jewellery And Watches,Consumer Discretionary
531859,ORIENTAL RAIL INFRASTRUCTURE LIMITED,ORIRAIL,Oriental Rail Infrastructure Ltd,1,Other Industrial Products,Industrials
531861,Joindre Capital Services Ltd.,JOINDRE,JOINDRE CAPITAL SERVICES LTD.,10,Stockbroking & Allied,Financial Services
531862,Bharat Agri Fert and Realty Ltd,BHARATAGRI,BHARAT AGRI FERT & REALTY LTD.,1,Fertilizers,Commodities
531867,Unitech International Ltd,UNITINT,UNITECH INTERNATIONAL LTD.,10,Specialty Chemicals,Commodities
531869,Sacheta Metals Ltd.,SACHEMT,SACHETA METALS LTD.,10,Aluminium,Commodities
531870,Popular Estate Management Ltd,POPULARES,POPULAR ESTATE MANAGEMENT LTD.,10,Civil Construction,Industrials
531878,Anjani Finance Ltd,ANJANIFIN,ANJANI FINANCE LTD.,10,Non Banking Financial Company (NBFC),Financial Services
531881,Gujarat Metallic Coal & Coke Ltd,GMETCOAL,GUJARAT METALLIC COAL & COKE LTD.-$,100,Trading & Distributors,Services
531885,SVA India Ltd,SVAINDIA,SVA INDIA LTD.,10,Trading & Distributors,Services
